attendance,study_hours,prev_marks,assignment,internal,predicted_score
90.0,7.0,42.5531914893617,35.04255319148936,41.297872340425535,65
90.0,8.8,55.319148936170215,48.255319148936174,50.787234042553195,85
90.0,8.0,77.9787234042553,62.38297872340425,65.18085106382978,65
60.0,1.0,27.872340425531917,25.297872340425535,26.085106382978726,40
60.0,2.7,44.680851063829785,39.744680851063826,44.212765957446805,40
60.0,1.0,30.106382978723406,20.085106382978726,27.095744680851066,40
60.0,1.0,39.57446808510638,27.659574468085108,35.61702127659574,40
60.0,8.0,37.234042553191486,33.787234042553195,30.51063829787234,65
90.0,2.9,25.53191489361702,21.425531914893618,21.97872340425532,85
60.0,3.5,24.255319148936174,15.404255319148941,20.829787234042556,65
90.0,6.0,51.70212765957447,41.36170212765958,42.53191489361703,65
90.0,1.2,33.297872340425535,27.63829787234043,27.968085106382983,65
60.0,1.0,17.659574468085108,11.127659574468087,16.893617021276597,40
60.0,9.0,39.148936170212764,33.31914893617021,39.234042553191486,65
90.0,9.8,26.489361702127656,20.191489361702125,24.840425531914892,65
90.0,1.0,8.829787234042554,6.063829787234043,3.9468085106382986,40
60.0,3.0,12.872340425531913,10.297872340425531,10.585106382978722,40
90.0,1.0,31.382978723404253,23.106382978723403,30.24468085106383,65
60.0,3.3,23.617021276595743,19.893617021276594,16.25531914893617,40
90.0,1.0,16.595744680851062,10.27659574468085,14.936170212765957,40
90.0,9.0,23.829787234042552,15.063829787234042,21.4468085106383,40
60.0,1.0,19.255319148936174,17.404255319148938,14.329787234042556,40
90.0,4.2,56.38297872340425,49.1063829787234,53.744680851063826,65
60.0,1.0,3.723404255319149,3.9787234042553195,0.35106382978723394,40
60.0,6.0,41.06382978723405,36.85106382978724,34.957446808510646,40
90.0,8.0,65.95744680851064,47.765957446808514,59.361702127659576,85
90.0,8.0,79.7872340425532,59.829787234042556,68.80851063829788,85
90.0,8.0,79.7872340425532,60.829787234042556,70.80851063829788,85
90.0,8.0,51.06382978723404,38.851063829787236,47.95744680851064,65
90.0,8.0,100.0,76.0,85.0,85
90.0,8.5,87.2340425531915,69.78723404255321,80.51063829787235,65
60.0,6.0,14.893617021276595,6.914893617021278,13.404255319148936,40
60.0,6.5,22.02127659574468,12.617021276595747,20.819148936170212,40
90.0,7.5,20.74468085106383,12.595744680851066,18.670212765957448,65
90.0,9.0,47.340425531914896,36.87234042553192,45.60638297872341,85
60.0,1.0,16.48936170212766,13.191489361702128,16.840425531914896,40
90.0,7.5,39.8936170212766,33.91489361702128,38.90425531914894,65
90.0,7.5,79.7872340425532,60.829787234042556,74.80851063829788,85
90.0,7.9,25.53191489361702,16.425531914893618,21.97872340425532,65
90.0,5.5,46.808510638297875,34.4468085106383,41.12765957446809,65
90.0,7.5,79.7872340425532,62.829787234042556,74.80851063829788,85
90.0,8.0,67.76595744680851,57.21276595744681,64.98936170212767,85
90.0,6.3,69.78723404255318,56.82978723404255,64.80851063829786,65
90.0,9.1,74.04255319148936,59.23404255319149,66.63829787234043,85
60.0,5.1,32.97872340425532,30.382978723404257,29.680851063829788,40
60.0,5.0,51.170212765957444,37.93617021276596,49.0531914893617,65
90.0,5.8,86.27659574468083,66.02127659574467,76.64893617021275,85
90.0,5.0,54.78723404255319,41.829787234042556,45.30851063829787,65
90.0,5.0,50.63829787234043,41.51063829787235,40.57446808510639,65
60.0,5.1,22.553191489361705,20.042553191489365,15.297872340425535,40
90.0,6.8,72.5531914893617,58.04255319148936,68.29787234042553,65
90.0,8.9,65.1063829787234,47.08510638297872,61.59574468085106,85
90.0,8.0,70.42553191489363,51.3404255319149,65.38297872340426,65
90.0,8.2,61.808510638297875,47.446808510638306,52.62765957446809,85
60.0,8.2,61.808510638297875,50.446808510638306,56.62765957446809,65
60.0,7.2,42.65957446808511,38.12765957446809,37.393617021276604,65
90.0,6.5,73.61702127659575,62.893617021276604,70.25531914893618,85
90.0,8.2,50.42553191489362,39.340425531914896,46.38297872340426,65
90.0,9.2,66.06382978723404,50.851063829787236,60.45744680851064,85
90.0,5.2,41.59574468085106,32.276595744680854,37.43617021276596,85
90.0,1.2,27.97872340425532,18.382978723404257,21.180851063829788,65
90.0,6.2,47.97872340425532,34.38297872340426,40.18085106382979,85
90.0,5.2,41.59574468085106,36.276595744680854,32.43617021276596,65
60.0,2.2,24.574468085106385,14.659574468085111,23.117021276595747,40
60.0,5.2,28.829787234042552,18.06382978723404,21.9468085106383,40
60.0,6.2,54.36170212765957,44.48936170212766,51.92553191489361,65
60.0,1.0,34.14893617021277,24.31914893617022,31.734042553191493,40
90.0,5.2,41.59574468085106,32.276595744680854,34.43617021276596,85
90.0,5.2,28.297872340425535,22.63829787234043,23.468085106382983,65
90.0,4.2,39.468085106382986,35.57446808510639,31.521276595744688,85
90.0,5.1,34.57446808510639,27.65957446808511,31.11702127659575,65
90.0,7.0,82.02127659574468,65.61702127659575,69.81914893617021,85
60.0,6.2,36.27659574468085,24.02127659574468,36.648936170212764,40
90.0,7.5,68.51063829787235,53.80851063829788,62.65957446808511,85
90.0,1.5,42.97872340425532,37.38297872340426,33.68085106382979,65
60.0,3.5,16.48936170212766,10.191489361702128,14.840425531914894,40
90.0,6.5,62.76595744680851,50.212765957446805,55.48936170212766,85
90.0,1.5,60.0,48.0,56.0,65
90.0,7.1,63.72340425531915,45.97872340425533,58.351063829787236,65
90.0,7.1,67.4468085106383,54.957446808510646,64.70212765957447,85
90.0,6.6,41.91489361702128,33.53191489361702,38.72340425531915,65
90.0,2.5,42.34042553191489,36.87234042553191,42.1063829787234,40
60.0,2.5,19.574468085106382,18.659574468085104,14.617021276595743,40
90.0,9.1,71.70212765957447,61.36170212765958,64.53191489361703,65
90.0,7.5,67.2340425531915,48.7872340425532,63.510638297872354,65
90.0,7.5,44.46808510638298,32.57446808510638,38.02127659574468,65
90.0,4.3,31.27659574468085,22.02127659574468,24.148936170212767,65
90.0,6.5,70.74468085106383,53.59574468085107,65.67021276595744,85
90.0,7.5,67.8723404255319,55.29787234042553,58.085106382978715,85
60.0,1.5,45.744680851063826,38.59574468085106,42.170212765957444,40
90.0,9.5,23.829787234042552,23.06382978723404,23.4468085106383,65
90.0,9.0,60.0,48.0,58.0,85
90.0,5.8,48.29787234042553,36.638297872340424,45.46808510638298,85
90.0,1.0,28.08510638297872,26.468085106382976,20.276595744680847,65
90.0,5.1,37.234042553191486,26.78723404255319,34.51063829787234,65
60.0,1.0,24.574468085106385,16.65957446808511,26.117021276595747,40
60.0,5.1,44.680851063829785,37.744680851063826,35.212765957446805,85
90.0,3.1,37.765957446808514,26.212765957446813,29.989361702127667,65
90.0,2.1,21.808510638297875,15.446808510638302,20.627659574468087,65
90.0,4.1,26.489361702127656,24.191489361702125,20.840425531914892,65
90.0,8.1,75.31914893617021,61.25531914893617,66.7872340425532,65
90.0,9.0,33.51063829787234,22.808510638297875,32.15957446808511,85
90.0,6.1,21.808510638297875,17.446808510638302,19.627659574468087,65
90.0,8.1,46.808510638297875,36.4468085106383,38.12765957446809,85
60.0,6.1,14.361702127659576,12.489361702127662,12.92553191489362,40
60.0,5.0,7.9787234042553195,10.382978723404257,8.180851063829788,40
60.0,2.1,17.978723404255316,16.382978723404253,18.180851063829785,40
60.0,4.1,47.87234042553192,33.297872340425535,45.08510638297873,65
90.0,8.8,41.59574468085106,37.276595744680854,40.43617021276596,65
90.0,6.1,89.57446808510637,75.6595744680851,81.61702127659574,85
90.0,5.1,46.06382978723404,32.851063829787236,40.45744680851064,65
90.0,6.9,40.212765957446805,30.170212765957444,32.191489361702125,65
90.0,5.1,46.808510638297875,36.4468085106383,41.12765957446809,65
90.0,6.1,58.51063829787234,46.808510638297875,50.659574468085104,65
90.0,8.3,73.40425531914893,59.723404255319146,67.06382978723404,85
90.0,8.1,69.68085106382979,52.74468085106383,66.7127659574468,85
90.0,9.0,41.48936170212766,36.19148936170213,38.340425531914896,65
90.0,1.1,29.78723404255319,26.829787234042556,29.80851063829787,40
90.0,1.0,7.340425531914894,8.872340425531917,2.6063829787234045,40
60.0,8.4,82.7659574468085,62.212765957446805,73.48936170212765,85
60.0,1.7,11.382978723404255,13.106382978723405,12.24468085106383,40
60.0,4.2,34.255319148936174,24.40425531914894,31.829787234042556,65
60.0,1.0,17.978723404255316,10.382978723404253,16.180851063829785,40
60.0,7.2,35.851063829787236,25.68085106382979,34.265957446808514,65
60.0,8.0,47.02127659574468,40.61702127659574,42.319148936170215,65
60.0,6.0,57.659574468085104,45.12765957446808,55.8936170212766,65
60.0,1.0,21.48936170212766,15.191489361702128,17.340425531914896,40
60.0,1.0,22.5531914893617,20.04255319148936,16.29787234042553,40
60.0,8.0,70.42553191489363,56.3404255319149,66.38297872340426,65
60.0,8.0,70.42553191489363,60.3404255319149,62.382978723404264,65
90.0,8.0,88.51063829787235,74.80851063829788,79.65957446808511,85
90.0,8.0,94.8936170212766,75.91489361702128,84.40425531914894,85
90.0,8.0,81.06382978723404,67.85106382978724,70.95744680851064,65
60.0,2.0,14.04255319148936,14.234042553191488,7.638297872340424,40
60.0,2.0,36.38297872340426,24.106382978723406,27.744680851063833,65
90.0,9.2,85.2127659574468,66.17021276595744,72.69148936170212,85
90.0,4.0,62.12765957446808,49.70212765957447,53.91489361702128,65
90.0,9.4,79.68085106382979,66.74468085106383,72.71276595744682,85
60.0,4.8,96.27659574468085,72.02127659574468,85.64893617021276,65
60.0,4.0,31.27659574468085,23.02127659574468,29.148936170212767,40
60.0,8.6,55.212765957446805,47.170212765957444,45.691489361702125,65
90.0,1.0,32.87234042553192,22.297872340425535,32.58510638297872,85
60.0,7.4,21.914893617021278,14.531914893617024,15.72340425531915,40
90.0,7.6,89.46808510638297,70.57446808510637,78.52127659574468,65
60.0,2.6,38.40425531914894,26.723404255319153,35.56382978723404,40
90.0,9.7,65.0,52.0,54.5,85
90.0,1.7,27.02127659574468,17.617021276595747,21.319148936170212,85
90.0,8.7,72.76595744680851,58.21276595744681,60.48936170212767,85
90.0,9.9,70.95744680851064,55.765957446808514,60.861702127659576,65
90.0,9.7,94.36170212765957,71.48936170212765,84.92553191489361,65
60.0,3.4,33.61702127659575,26.8936170212766,27.255319148936177,40
60.0,1.7,13.191489361702127,12.553191489361701,8.872340425531915,40
60.0,9.7,70.95744680851064,53.765957446808514,60.861702127659576,65
60.0,2.7,35.851063829787236,27.68085106382979,36.265957446808514,65
60.0,9.4,28.297872340425535,23.63829787234043,21.468085106382983,65
90.0,6.4,48.29787234042553,37.638297872340424,42.46808510638298,65
90.0,8.4,62.3404255319149,51.872340425531924,53.10638297872342,85
60.0,8.0,17.659574468085108,18.127659574468087,14.893617021276597,65
60.0,7.0,25.744680851063826,23.595744680851062,22.170212765957444,65
60.0,1.0,10.638297872340425,4.51063829787234,11.574468085106384,65
60.0,2.8,24.893617021276597,18.914893617021278,23.404255319148938,65
90.0,8.4,55.74468085106383,46.59574468085107,45.17021276595745,85
90.0,8.1,55.319148936170215,41.255319148936174,47.787234042553195,65
90.0,2.1,22.340425531914892,19.872340425531913,21.106382978723403,65
90.0,2.0,22.127659574468087,18.70212765957447,22.914893617021278,85
90.0,8.2,85.00000000000001,64.00000000000001,76.50000000000001,85
90.0,6.2,77.6595744680851,62.12765957446808,73.89361702127658,85
90.0,2.1,41.48936170212766,28.191489361702132,39.340425531914896,85
90.0,3.1,52.659574468085104,41.12765957446808,42.3936170212766,85
90.0,3.1,50.53191489361703,41.425531914893625,40.47872340425533,65
90.0,4.1,47.12765957446808,39.702127659574465,38.41489361702128,65
90.0,7.1,55.212765957446805,44.170212765957444,44.691489361702125,85
90.0,6.0,55.212765957446805,45.170212765957444,51.691489361702125,85
90.0,9.4,88.19148936170214,68.55319148936171,78.37234042553193,85
90.0,8.7,94.14893617021278,74.31914893617022,82.7340425531915,85
60.0,3.8,38.72340425531915,27.978723404255323,34.851063829787236,65
60.0,3.9,41.27659574468085,31.02127659574468,38.148936170212764,65
90.0,7.9,81.70212765957446,67.36170212765957,77.53191489361701,85
90.0,7.9,90.42553191489363,73.3404255319149,78.38297872340426,85
90.0,7.0,73.19148936170212,61.5531914893617,63.87234042553192,65
90.0,7.1,82.65957446808511,61.1276595744681,73.3936170212766,65
60.0,3.6,45.851063829787236,34.68085106382979,40.265957446808514,40
60.0,2.4,28.723404255319153,21.978723404255323,22.85106382978724,40
90.0,8.6,85.53191489361703,67.42553191489363,71.97872340425533,85
90.0,6.4,79.7872340425532,60.829787234042556,71.80851063829788,85
60.0,8.6,85.53191489361703,72.42553191489363,78.97872340425533,65
60.0,6.4,79.7872340425532,62.829787234042556,66.80851063829788,65
90.0,8.7,94.25531914893617,73.40425531914893,83.82978723404256,85
90.0,7.4,87.7659574468085,74.2127659574468,74.98936170212765,85
60.0,1.7,29.361702127659576,21.489361702127663,27.425531914893618,65
60.0,1.4,32.4468085106383,25.95744680851064,29.20212765957447,65
60.0,1.2,14.361702127659576,11.489361702127662,10.92553191489362,40
60.0,3.4,15.0,9.0,17.5,40
90.0,2.0,20.212765957446805,18.170212765957444,14.191489361702125,65
90.0,4.4,29.893617021276597,21.914893617021278,30.904255319148938,65
90.0,5.0,32.765957446808514,26.212765957446813,31.489361702127663,65
90.0,4.4,63.72340425531915,50.97872340425533,58.351063829787236,65
90.0,5.9,80.63829787234043,63.51063829787235,71.57446808510639,85
90.0,6.4,82.87234042553192,63.29787234042554,76.58510638297872,85
60.0,5.7,93.40425531914893,72.72340425531915,80.06382978723404,65
60.0,8.4,85.00000000000001,72.00000000000001,73.50000000000001,65
60.0,2.9,32.765957446808514,28.212765957446813,24.489361702127663,65
60.0,3.4,40.319148936170215,35.255319148936174,38.287234042553195,65
90.0,7.9,49.787234042553195,38.829787234042556,43.808510638297875,85
90.0,6.4,60.53191489361702,44.42553191489362,57.47872340425532,85
90.0,8.8,84.7872340425532,62.829787234042556,79.30851063829788,85
90.0,8.4,89.25531914893618,68.40425531914894,82.32978723404257,85
90.0,9.2,49.04255319148936,39.23404255319149,48.138297872340424,85
90.0,9.0,40.53191489361702,33.42553191489362,37.47872340425532,85
90.0,9.7,23.51063829787234,17.80851063829787,23.159574468085108,85
90.0,9.5,26.170212765957444,22.93617021276596,18.5531914893617,85
60.0,8.7,29.893617021276597,21.914893617021278,28.904255319148938,65
60.0,8.0,28.191489361702125,22.5531914893617,26.372340425531913,65
60.0,1.5,16.48936170212766,16.19148936170213,9.840425531914894,40
60.0,1.0,16.48936170212766,14.191489361702128,10.840425531914894,40
90.0,3.5,27.97872340425532,17.382978723404257,29.180851063829788,65
90.0,2.0,34.255319148936174,30.40425531914894,26.829787234042556,65
60.0,1.5,16.48936170212766,9.191489361702128,15.840425531914894,40
60.0,1.0,16.48936170212766,13.191489361702128,13.840425531914894,40
90.0,7.7,83.08510638297871,63.46808510638297,75.77659574468083,65
90.0,8.5,82.02127659574468,63.61702127659575,74.81914893617021,65
60.0,1.0,45.21276595744681,36.17021276595745,41.69148936170213,40
60.0,1.0,34.89361702127659,26.914893617021274,30.40425531914893,40
90.0,9.0,20.74468085106383,16.595744680851066,21.670212765957448,65
90.0,8.0,26.382978723404253,18.106382978723403,22.74468085106383,65
60.0,1.0,6.702127659574468,4.361702127659575,8.03191489361702,40
60.0,1.0,11.063829787234043,4.851063829787234,12.957446808510639,40
90.0,9.0,37.765957446808514,26.212765957446813,37.98936170212767,65
90.0,8.0,37.765957446808514,34.21276595744681,32.98936170212767,65
90.0,9.8,32.87234042553192,30.297872340425535,27.585106382978726,65
90.0,8.9,35.0,27.0,34.5,65
90.0,9.0,14.148936170212767,7.319148936170215,16.734042553191493,65
90.0,8.0,13.51063829787234,8.808510638297873,12.159574468085106,65
90.0,8.7,45.21276595744681,38.17021276595745,38.69148936170213,65
90.0,9.2,34.89361702127659,31.914893617021274,34.40425531914893,65
90.0,9.7,15.106382978723405,16.085106382978722,11.595744680851064,85
90.0,8.2,24.361702127659573,22.48936170212766,25.925531914893615,85
90.0,9.7,18.29787234042553,11.638297872340425,11.46808510638298,85
90.0,8.2,27.5531914893617,20.04255319148936,19.79787234042553,85
60.0,1.0,9.893617021276595,5.914893617021277,7.904255319148936,40
60.0,1.0,11.063829787234043,8.851063829787234,8.957446808510639,40
60.0,1.3,6.063829787234043,8.851063829787236,0.4574468085106389,40
60.0,1.0,9.893617021276595,4.914893617021277,8.904255319148936,40
90.0,9.4,17.5531914893617,12.042553191489361,11.797872340425531,65
90.0,8.9,19.361702127659576,12.489361702127662,14.425531914893618,65
90.0,9.8,29.680851063829788,23.744680851063833,22.71276595744681,85
90.0,9.7,32.12765957446809,22.702127659574472,24.91489361702128,85
90.0,8.8,30.319148936170215,22.255319148936174,31.287234042553195,65
90.0,8.7,26.80851063829787,20.4468085106383,21.127659574468083,65
90.0,9.8,42.02127659574468,35.61702127659574,32.819148936170215,85
90.0,9.0,43.829787234042556,32.06382978723405,37.4468085106383,85
60.0,8.8,27.872340425531917,24.297872340425535,22.085106382978726,65
60.0,9.8,32.12765957446809,22.702127659574472,23.91489361702128,65
90.0,9.8,57.659574468085104,42.12765957446808,49.8936170212766,85
90.0,8.8,57.12765957446809,47.70212765957447,55.414893617021285,85
90.0,9.5,44.8936170212766,37.91489361702128,42.40425531914894,85
90.0,7.0,46.91489361702127,33.53191489361702,44.223404255319146,85
60.0,1.8,38.51063829787235,26.80851063829788,29.65957446808511,65
60.0,5.8,39.57446808510638,28.659574468085108,33.61702127659574,65
90.0,8.8,60.53191489361702,48.42553191489362,55.47872340425532,85
90.0,8.1,52.87234042553192,43.297872340425535,47.58510638297873,85
90.0,1.7,25.0,23.0,25.5,65
90.0,1.0,29.574468085106382,23.659574468085108,30.617021276595743,65
60.0,2.0,59.46808510638297,42.57446808510638,56.52127659574467,40
60.0,1.0,57.7659574468085,44.212765957446805,47.98936170212765,40
60.0,1.0,38.82978723404255,33.06382978723404,38.94680851063829,40
60.0,1.0,29.574468085106382,27.659574468085108,24.617021276595743,40
60.0,9.0,49.46808510638298,38.57446808510639,44.52127659574468,65
60.0,8.2,56.27659574468085,45.02127659574468,49.648936170212764,65
60.0,3.0,62.23404255319149,44.787234042553195,52.01063829787235,40
60.0,2.2,60.53191489361702,46.42553191489362,58.47872340425532,40
60.0,2.0,59.89361702127659,44.91489361702128,54.90425531914893,40
60.0,1.2,58.829787234042556,51.06382978723405,48.9468085106383,40
90.0,8.2,41.170212765957444,27.93617021276596,33.0531914893617,85
90.0,8.3,46.06382978723404,37.851063829787236,44.45744680851064,85
90.0,9.2,51.808510638297875,36.446808510638306,42.62765957446809,85
90.0,9.3,47.87234042553192,38.297872340425535,47.08510638297873,85
90.0,9.0,60.851063829787236,46.68085106382979,57.765957446808514,65
90.0,7.7,59.787234042553195,42.829787234042556,54.808510638297875,65
60.0,1.0,7.340425531914894,3.872340425531916,4.6063829787234045,40
60.0,1.0,6.063829787234043,8.851063829787236,3.457446808510639,40
60.0,8.1,44.04255319148936,39.23404255319149,38.638297872340424,65
60.0,8.8,46.595744680851055,41.27659574468085,44.93617021276595,65
90.0,9.8,48.723404255319146,40.97872340425532,39.85106382978723,85
90.0,9.0,52.55319148936171,42.04255319148937,51.29787234042554,85
90.0,9.1,56.80851063829787,43.4468085106383,48.12765957446808,85
90.0,9.8,72.12765957446808,58.70212765957447,65.91489361702128,85
90.0,8.0,67.76595744680851,56.21276595744681,57.98936170212767,65
90.0,8.2,73.19148936170212,53.5531914893617,63.87234042553192,65
90.0,9.0,89.46808510638297,67.57446808510637,84.52127659574468,85
90.0,9.2,91.48936170212765,77.19148936170212,81.34042553191489,85
60.0,7.1,34.787234042553195,29.829787234042556,35.308510638297875,65
60.0,8.0,30.106382978723406,21.085106382978726,22.095744680851066,65
90.0,8.1,87.02127659574468,67.61702127659575,75.31914893617021,85
90.0,8.9,77.9787234042553,63.38297872340425,66.18085106382978,85
90.0,9.5,82.7659574468085,64.2127659574468,71.48936170212765,85
90.0,9.1,82.34042553191489,69.87234042553192,69.1063829787234,85
60.0,1.0,3.2978723404255317,2.6382978723404253,6.968085106382979,40
60.0,1.0,6.595744680851063,8.27659574468085,1.9361702127659575,40
90.0,7.9,34.57446808510639,29.65957446808511,33.11702127659575,65
90.0,8.8,36.38297872340426,28.106382978723406,27.744680851063833,65
90.0,8.9,36.06382978723404,24.851063829787236,34.45744680851064,85
90.0,9.0,45.744680851063826,32.59574468085106,38.170212765957444,85
