attendance,study_hours,previous_marks,assignment_score,internal_marks,final_score
72.8,8.33,82.55,41.85,58.53,74.58
51.09,9.43,40.4,96.06,47.6,72.92
98.18,5.62,48.05,48.86,40.44,62.42
86.51,9.55,51.44,88.58,50.23,79.09
96.37,5.82,72.27,89.39,63.06,76.29
93.69,4.55,79.2,82.52,33.79,67.18
75.87,8.63,78.72,47.88,39.99,67.02
95.31,5.44,63.14,80.04,91.6,84.84
45.31,5.25,82.7,93.35,65.29,71.37
51.76,5.41,58.41,65.53,34.12,54.34
42.71,8.62,38.05,64.81,75.05,70.32
59.52,8.49,66.69,66.57,34.02,70.1
63.32,4.63,91.9,44.94,78.03,69.7
56.28,4.0,81.54,93.52,78.75,77.1
89.72,5.43,67.62,92.15,72.32,81.84
61.41,6.15,72.04,99.87,77.59,85.21
56.86,3.15,90.49,75.11,35.72,61.8
72.56,8.15,57.84,85.07,77.24,85.2
48.46,5.38,51.54,52.16,38.88,54.85
88.13,4.01,93.52,80.05,52.07,71.16
44.47,1.96,86.12,78.98,91.28,72.69
99.21,3.15,51.0,94.07,62.69,72.27
86.33,9.54,60.15,89.85,92.88,92.75
51.92,3.75,56.98,96.31,35.78,57.4
40.33,2.52,39.69,92.13,61.04,55.42
88.93,5.15,92.26,92.12,34.06,74.85
82.41,3.76,56.28,43.82,70.96,62.93
83.74,1.32,86.9,90.76,35.12,61.29
86.28,3.91,42.31,76.45,41.4,56.33
44.44,5.9,65.61,62.83,46.82,61.02
61.51,5.97,31.56,43.39,78.67,61.61
46.95,4.21,79.67,80.66,40.66,62.32
91.79,5.03,67.76,59.69,85.03,75.06
77.4,9.69,70.66,68.07,38.57,75.51
59.85,4.4,33.36,80.9,32.29,51.64
43.81,3.32,43.72,94.71,55.68,56.76
58.66,3.19,34.83,89.53,93.66,67.09
59.51,5.12,48.78,67.04,37.17,53.69
83.78,7.84,70.78,63.27,36.61,69.55
78.25,2.85,66.8,54.39,78.83,66.99
93.23,7.38,69.79,62.35,50.29,74.49
68.33,1.19,65.7,46.66,76.62,59.3
47.18,4.77,47.75,98.27,43.0,59.59
82.79,7.98,45.89,74.44,59.9,76.52
85.65,4.05,38.91,47.67,47.24,53.58
73.68,6.07,85.19,61.17,59.35,74.2
86.26,2.84,70.07,72.82,79.99,72.29
69.63,7.68,42.12,71.97,79.53,77.07
71.36,1.47,41.52,42.13,63.53,49.74
65.65,8.67,86.75,97.05,90.34,96.17
41.53,2.78,78.28,56.52,47.15,54.27
46.47,8.87,72.86,40.97,45.62,67.23
41.89,4.17,56.45,44.59,69.9,56.25
78.18,7.5,47.03,74.81,70.38,72.42
58.86,3.87,93.66,48.27,33.03,54.85
70.51,9.15,81.82,42.5,69.51,81.31
94.45,2.14,49.62,62.78,54.34,57.99
54.96,2.61,85.09,77.37,78.58,71.02
64.62,5.44,79.33,46.71,82.53,71.15
85.33,1.74,49.31,58.8,65.89,58.67
53.73,2.76,57.73,65.07,30.11,46.51
44.62,9.49,42.09,49.57,71.36,68.41
57.39,9.79,37.22,70.36,78.68,77.4
49.67,4.39,76.98,45.11,46.18,57.59
95.78,9.31,47.39,42.79,60.2,74.84
88.49,5.9,83.3,71.19,92.77,87.91
78.0,3.43,94.71,54.87,49.38,61.83
92.29,7.32,34.98,45.72,44.5,61.62
88.22,6.93,60.75,65.43,43.71,68.51
51.19,9.9,82.13,94.91,66.32,84.67
93.55,3.39,81.28,83.45,91.74,83.01
72.36,7.05,79.4,88.94,69.56,82.51
88.45,1.47,52.68,92.31,49.72,61.88
93.77,2.02,59.5,98.36,71.51,72.3
59.08,1.04,68.67,85.79,70.61,62.44
46.6,10.0,93.31,76.5,68.8,88.44
53.68,8.22,51.29,61.93,40.36,58.91
65.63,8.08,90.0,50.9,71.25,79.47
89.08,5.59,47.51,81.2,57.96,66.94
91.64,3.7,94.29,99.7,31.21,69.33
40.42,2.36,73.57,68.04,65.08,60.86
70.64,3.56,60.13,83.42,94.3,73.95
65.04,4.38,69.87,69.71,52.73,61.59
53.33,7.81,47.71,65.92,92.76,82.84
47.19,5.86,47.82,64.62,36.25,52.37
60.26,1.7,37.38,70.28,77.61,61.41
96.57,1.16,37.41,62.01,37.43,48.15
59.39,1.92,52.6,84.93,47.78,54.5
71.13,4.69,79.59,92.46,67.1,78.07
82.18,9.4,69.52,92.97,68.53,91.56
61.82,6.74,36.67,53.66,80.39,66.01
98.31,8.22,85.4,93.75,70.0,91.11
97.75,5.2,69.09,60.49,68.58,75.85
55.11,4.25,92.46,58.56,89.3,76.46
69.83,1.98,73.56,83.61,59.39,66.88
58.05,8.88,41.39,58.28,44.64,65.26
57.09,8.05,60.8,43.18,40.52,65.26
42.21,2.51,72.15,62.42,56.0,56.68
76.57,5.61,31.84,83.29,76.33,71.88
70.16,5.39,30.97,59.62,32.77,52.59
43.09,6.63,38.41,77.77,38.39,57.51
56.72,9.52,46.36,79.61,36.9,70.27
94.5,6.22,57.92,84.02,68.04,79.0
54.37,5.86,61.68,93.83,45.79,69.22
48.69,1.45,38.97,65.95,40.81,46.04
69.37,1.57,73.77,49.99,68.53,60.5
99.14,2.69,68.75,59.14,79.49,72.02
54.52,1.29,49.14,65.93,51.59,47.87
80.33,7.69,30.89,82.83,67.58,73.19
85.7,7.51,35.05,40.79,36.38,59.4
54.26,2.22,55.46,58.95,90.79,66.66
83.69,8.52,40.01,86.79,51.9,70.9
62.07,2.39,54.49,80.25,94.84,69.55
77.94,3.71,70.83,83.9,93.61,80.04
78.01,3.24,65.57,88.71,80.62,73.08
72.15,4.35,45.03,86.99,31.3,55.85
45.42,3.29,52.35,80.93,65.33,62.24
90.12,5.4,69.91,66.38,35.64,68.13
59.25,4.67,85.96,99.02,88.18,79.95
51.19,9.88,78.96,74.14,81.33,87.06
42.45,1.5,65.97,52.17,93.2,62.63
75.45,2.28,53.55,57.57,69.54,61.66
80.65,1.48,53.73,81.61,63.94,62.69
41.0,6.63,87.16,95.48,63.73,81.89
70.73,1.49,32.55,50.72,55.12,47.58
53.59,8.53,94.22,44.94,60.46,77.96
78.71,5.61,73.18,92.89,71.3,79.14
50.46,5.74,74.27,94.92,90.64,83.06
81.46,6.05,32.47,56.58,68.73,63.35
63.2,2.54,69.36,62.64,85.71,69.74
96.2,2.78,61.51,79.61,86.08,75.19
48.25,3.87,36.88,59.8,63.72,56.08
60.46,6.34,48.06,92.63,52.59,68.21
46.81,2.89,87.87,46.45,71.57,63.75
95.48,2.05,65.75,42.28,58.98,59.54
92.64,9.73,56.87,52.51,35.29,68.69
55.48,1.2,34.72,57.17,54.56,44.19
79.6,8.22,76.42,46.78,94.61,85.46
89.03,8.09,75.69,43.94,33.15,68.77
73.31,3.67,69.91,85.34,75.28,77.53
71.78,2.22,63.17,49.86,84.68,64.93
54.51,2.31,58.2,94.84,72.17,68.23
45.59,7.28,68.56,62.08,67.03,68.05
93.83,6.79,45.17,80.24,75.99,82.95
94.03,8.04,91.18,53.52,57.91,81.73
77.99,9.44,68.27,54.42,35.94,70.52
60.34,7.23,50.23,74.48,92.55,79.5
60.95,2.4,59.23,73.64,58.1,56.93
83.56,3.19,82.37,86.12,73.25,74.54
93.83,8.58,40.51,85.47,64.54,83.9
93.23,2.88,49.03,80.24,33.55,55.13
86.79,1.65,74.17,66.95,91.93,70.93
78.52,7.33,50.51,93.44,81.51,81.94
45.05,4.62,81.51,77.35,39.69,59.59
49.7,9.28,38.48,99.41,93.81,86.41
93.91,6.85,79.57,89.16,77.9,90.51
76.39,1.81,34.44,42.66,60.7,48.39
40.55,9.53,30.82,59.24,69.74,66.09
46.09,3.33,88.38,74.31,36.94,59.44
79.81,4.03,67.79,83.29,66.43,72.08
40.3,4.62,52.87,73.02,34.79,55.22
49.65,1.46,45.12,87.17,65.42,56.27
72.92,5.47,70.1,56.96,65.93,69.28
81.51,2.11,63.09,51.03,86.84,66.08
79.12,4.61,94.45,43.24,77.13,74.25
53.46,4.16,93.91,74.4,46.22,65.16
82.73,7.96,71.28,81.32,87.75,88.05
54.23,8.23,58.79,59.57,67.26,68.86
59.52,2.38,61.92,76.82,69.41,62.32
84.79,4.3,74.36,43.13,40.98,60.69
78.98,4.36,36.6,45.96,85.76,66.69
90.95,2.36,51.34,82.11,90.51,72.44
79.46,8.19,34.89,62.08,80.37,78.5
74.1,7.37,34.77,80.28,91.15,79.84
45.62,2.71,42.73,89.9,49.65,52.36
62.06,4.3,61.54,91.16,85.97,73.09
55.91,1.95,81.01,50.33,61.78,60.5
54.64,6.65,61.56,69.18,40.65,62.42
98.38,2.09,51.81,84.04,73.47,66.76
63.59,9.87,35.35,86.44,74.47,76.39
93.52,8.03,65.77,87.08,48.65,78.48
77.87,4.51,47.63,53.69,31.79,53.57
87.69,6.21,69.97,51.55,42.99,64.48
70.16,9.2,93.52,75.4,55.99,82.0
74.61,5.99,37.24,84.47,40.89,61.68
69.55,2.57,43.79,59.15,42.61,52.71
51.71,4.41,60.75,46.28,55.44,54.03
83.35,8.59,92.96,83.0,92.52,95.64
56.85,6.8,80.17,57.98,79.68,79.48
41.46,6.86,88.38,49.98,50.78,67.26
78.73,8.8,51.69,48.86,91.85,81.83
50.63,9.05,94.48,58.89,71.97,81.19
96.43,9.28,36.68,75.56,59.6,78.05
97.24,1.85,33.44,61.5,60.44,55.26
94.89,5.9,85.61,41.24,56.7,69.64
62.21,7.66,90.27,45.81,45.14,67.08
40.93,7.81,35.89,57.43,55.13,62.44
95.7,6.46,37.37,79.58,64.31,73.07
65.69,2.5,32.16,45.91,64.32,51.64
98.0,8.18,36.79,73.64,79.51,81.39
97.82,7.48,43.61,47.19,53.32,68.41
91.18,1.78,93.05,52.7,76.59,69.74
57.67,5.17,73.41,50.33,67.58,65.63
63.11,2.57,80.61,44.03,92.52,66.94
91.07,4.04,80.45,80.28,55.04,69.59
59.02,1.16,64.78,67.8,88.58,62.6
50.17,4.6,81.84,89.86,83.34,77.64
73.41,5.95,68.73,45.93,71.45,67.05
96.17,6.58,50.45,48.68,72.54,69.7
81.76,6.97,66.47,58.39,35.5,67.4
74.2,8.53,64.68,85.95,91.76,90.56
45.83,2.94,83.52,58.35,36.95,52.78
76.9,2.08,93.81,64.51,66.61,72.93
99.4,8.66,56.72,58.1,51.45,71.66
48.41,2.41,79.62,44.81,57.94,57.51
71.1,9.77,36.48,96.37,69.66,82.34
92.64,8.58,80.49,72.91,89.08,94.32
84.45,5.51,54.14,87.27,59.74,72.86
81.82,9.83,32.56,79.5,94.2,83.78
82.15,1.88,53.61,70.86,68.53,62.67
61.57,3.73,69.69,45.38,40.44,54.38
57.62,6.74,37.75,78.56,42.35,57.08
88.56,4.15,90.06,49.32,76.55,78.39
88.61,9.36,35.05,64.86,33.28,67.28
92.02,1.59,90.45,77.75,61.22,71.13
94.79,5.94,75.96,86.93,39.63,71.2
70.68,6.32,51.43,81.1,58.16,71.74
70.09,6.87,55.4,80.29,78.74,80.63
87.9,3.3,78.15,48.94,59.82,65.31
79.0,4.28,69.1,60.77,40.62,60.69
82.12,8.59,73.66,42.57,46.38,69.17
87.75,2.75,55.3,83.17,53.89,63.47
93.4,8.44,61.71,97.16,34.52,76.22
60.28,6.06,94.34,55.85,67.98,75.77
62.53,7.86,43.9,45.26,69.49,66.01
45.64,7.42,57.16,68.53,34.04,61.88
74.7,2.87,48.97,91.4,56.15,61.62
42.16,6.12,79.73,73.12,56.91,68.74
67.94,8.81,79.66,42.81,51.7,73.45
72.56,4.89,49.01,98.46,66.25,71.07
57.19,9.7,35.29,89.72,52.49,74.88
75.45,5.07,30.74,47.9,57.07,57.95
41.83,2.29,57.78,95.31,81.84,66.63
42.24,4.5,56.67,67.04,40.54,56.81
89.36,9.57,94.25,62.31,70.24,89.87
61.61,3.88,60.54,67.66,62.86,65.64
47.62,8.81,46.67,90.07,49.83,75.05
71.33,8.93,87.93,79.57,77.29,89.23
86.2,4.15,61.92,43.55,65.83,65.44
52.95,1.75,68.95,97.46,61.03,62.63
77.37,7.52,36.22,48.87,73.4,67.38
45.12,3.8,54.89,84.73,82.15,68.45
43.1,8.05,91.37,78.17,93.22,85.74
71.88,4.98,68.32,51.25,70.91,66.54
72.44,5.37,52.39,50.24,86.84,72.05
78.25,8.0,70.67,92.22,30.07,72.31
83.57,4.44,89.18,65.18,64.47,75.27
98.55,4.99,47.81,79.27,43.95,66.46
70.98,4.39,62.83,70.24,36.12,62.77
59.38,4.31,92.31,83.64,64.58,75.29
87.71,5.73,41.21,68.75,78.54,75.26
56.25,8.28,76.78,57.24,56.8,73.79
66.34,4.26,69.94,61.8,73.56,69.64
44.71,5.72,74.18,91.54,61.83,75.03
41.52,7.04,52.83,68.08,58.41,66.87
97.76,3.42,50.4,52.81,48.87,58.94
90.16,3.5,74.47,96.08,54.87,73.26
81.76,9.4,44.01,87.8,52.74,79.02
64.54,7.51,57.28,43.34,72.0,68.84
50.4,6.19,42.23,99.94,37.54,61.3
49.39,6.83,30.54,81.7,36.02,60.59
55.01,1.26,93.05,49.62,72.9,65.53
72.95,6.56,58.06,54.23,65.51,67.6
82.88,5.59,93.01,81.55,57.96,77.37
79.61,5.91,39.12,86.79,39.91,66.16
56.8,4.23,68.18,54.34,56.72,61.68
97.29,1.73,43.06,55.42,81.33,64.37
84.27,2.74,81.35,58.43,87.83,75.59
73.26,9.56,80.94,75.88,75.67,88.47
76.7,4.68,37.32,50.31,33.89,51.56
65.18,5.2,89.28,46.25,73.58,72.46
54.86,1.47,42.65,80.73,45.66,48.56
61.36,1.34,69.84,86.75,50.49,59.65
85.47,7.45,94.07,70.06,42.73,79.57
40.86,5.84,87.36,61.83,80.42,74.02
46.96,5.58,92.18,65.92,72.16,74.57
42.76,3.19,52.27,63.3,69.77,58.85
42.44,7.7,36.86,97.6,73.42,73.96
91.33,2.51,42.24,86.09,45.39,60.61
82.22,2.71,62.53,52.49,58.9,58.42
68.45,5.15,81.56,63.05,71.16,76.08
45.87,3.58,39.76,72.64,71.38,60.98
69.5,3.23,72.88,76.78,81.47,71.0
68.41,6.81,51.03,68.09,48.66,69.1
50.39,6.86,52.18,88.61,80.07,77.22
66.03,8.42,73.02,86.06,58.61,78.91
63.91,4.76,60.35,70.31,73.56,71.9
76.95,1.66,82.78,91.27,59.62,69.38
78.11,3.46,40.13,85.07,91.66,69.36
42.72,9.82,81.35,86.71,41.65,76.01
62.48,6.37,34.18,97.38,73.88,74.33
77.55,7.39,42.61,55.99,67.47,65.75
70.19,1.07,72.65,56.06,41.23,51.48
91.39,5.66,85.57,93.34,34.29,74.24
79.52,1.34,46.42,86.33,81.94,64.04
49.78,6.12,51.27,95.59,40.23,64.75
44.23,9.29,64.91,43.79,42.12,64.25
78.55,9.72,43.75,77.67,93.6,86.06
41.59,5.86,82.73,48.68,76.62,72.0
75.15,5.12,80.29,70.23,46.28,69.74
96.41,9.51,39.44,49.34,68.41,75.94
74.53,7.06,60.15,47.68,64.72,69.41
63.29,1.58,80.36,40.73,84.89,64.58
78.6,5.19,51.93,77.81,77.41,73.53
67.5,3.16,71.15,61.54,84.06,65.92
72.74,5.23,33.26,46.31,43.75,54.0
96.49,5.1,69.56,59.37,71.61,72.87
63.17,6.24,39.92,50.14,32.62,52.09
97.67,4.21,83.99,96.5,34.48,74.53
94.32,2.48,53.1,59.2,76.38,65.45
51.75,5.53,48.3,60.04,31.59,52.74
44.16,8.47,84.66,90.39,67.68,84.13
46.05,6.98,33.26,78.87,84.63,73.18
41.09,4.05,55.78,82.61,54.7,58.54
45.67,9.42,54.05,78.16,32.91,66.59
80.98,9.21,48.51,96.77,76.4,87.22
44.27,2.88,89.26,52.42,90.43,69.85
59.14,1.35,78.81,99.34,76.62,71.44
90.69,7.67,34.16,89.86,67.6,83.04
41.4,8.45,76.45,75.34,44.95,68.83
88.87,9.71,64.27,79.74,31.0,77.67
56.91,9.01,88.56,78.93,75.15,89.47
47.09,6.4,50.34,43.5,45.02,56.32
81.8,5.77,67.32,53.08,85.78,75.21
77.74,1.25,62.55,97.69,60.31,68.26
92.65,3.22,61.82,72.06,64.49,63.69
84.1,5.14,59.65,62.7,79.01,72.27
88.21,6.66,43.37,85.72,80.66,82.24
56.92,6.02,79.12,71.47,71.77,74.5
50.65,7.68,59.34,40.79,91.0,77.32
85.04,3.52,92.3,84.17,93.85,81.98
88.41,6.08,46.95,83.93,91.55,79.88
99.43,1.79,74.38,49.91,83.57,68.26
64.76,4.72,91.15,97.4,75.87,82.82
62.32,7.75,73.12,53.43,73.12,75.52
86.58,7.24,86.63,67.46,36.74,71.95
60.45,9.92,83.79,46.88,47.65,77.14
95.85,3.5,53.41,76.2,30.37,61.19
91.5,5.48,69.01,62.53,38.93,64.58
65.74,3.97,40.16,61.19,58.55,54.2
85.05,4.97,64.81,89.62,39.52,63.61
85.27,8.71,44.98,40.57,88.61,78.74
46.19,7.16,78.34,87.88,82.37,84.1
94.15,8.94,64.32,74.29,34.65,74.72
70.32,2.83,56.73,99.17,46.18,62.52
89.59,8.86,47.47,75.37,83.24,83.52
59.2,1.54,94.92,43.32,82.2,66.35
93.73,9.0,34.66,43.04,91.45,82.89
63.35,3.96,32.83,92.99,94.84,68.58
40.65,3.83,44.12,90.47,93.46,70.47
94.32,5.61,93.12,60.75,56.66,74.0
45.48,9.47,93.65,77.08,46.27,75.54
59.16,1.43,72.57,69.38,79.3,62.37
97.0,4.17,87.21,98.03,49.45,77.62
97.04,8.71,43.91,97.0,82.42,90.05
74.41,4.56,93.18,99.03,64.71,83.34
77.91,2.79,39.28,91.99,81.61,69.42
66.91,4.82,36.57,94.57,47.93,59.18
57.59,4.47,37.29,53.04,63.02,56.31
59.72,9.24,67.25,89.86,66.66,80.71
80.35,7.86,80.76,82.53,91.3,89.34
85.14,5.55,53.83,97.77,47.33,72.33
87.49,9.9,93.56,74.28,90.88,99.09
87.38,5.19,58.24,45.11,82.32,72.62
45.47,1.52,39.78,75.84,77.51,56.28
69.67,3.36,60.29,81.19,81.15,73.07
43.45,4.92,74.14,53.22,69.35,64.27
72.97,2.41,84.09,63.65,45.87,62.51
66.49,9.53,59.82,75.91,42.32,74.33
93.26,7.9,68.58,62.45,86.31,85.42
61.05,3.41,47.38,62.5,77.13,63.22
47.02,6.32,71.98,47.99,43.86,59.97
48.58,7.49,94.09,96.44,69.98,88.3
85.69,9.47,33.19,85.03,59.09,78.39
77.09,8.93,87.62,40.07,40.31,71.52
46.07,5.64,66.55,85.94,64.57,70.4
45.05,7.97,46.39,84.39,48.3,69.01
82.06,6.06,92.07,40.58,36.26,66.28
44.37,5.97,61.42,62.18,60.35,63.86
89.31,2.03,51.56,76.4,68.36,62.26
82.37,2.14,41.8,67.17,33.05,47.61
44.88,5.77,45.89,86.68,56.14,64.14
45.09,3.42,84.14,65.53,46.75,61.97
99.2,1.19,69.94,49.23,31.99,50.79
62.46,7.51,89.36,98.58,38.17,75.99
62.24,1.29,45.08,54.52,39.04,40.67
88.77,6.36,37.87,83.06,41.89,69.0
96.83,5.85,30.4,48.59,82.22,70.75
99.16,9.72,63.01,59.74,58.57,82.89
85.2,5.36,94.89,66.52,39.56,72.25
62.58,1.57,75.17,51.53,36.52,49.28
45.01,5.97,50.05,67.0,49.37,60.07
86.63,8.57,87.0,49.43,81.87,89.24
73.5,9.97,80.81,73.54,53.69,83.29
65.45,4.87,31.0,79.82,40.39,57.45
94.38,3.88,83.1,43.75,56.27,67.85
46.67,9.16,49.53,92.27,66.1,79.38
69.56,2.72,39.73,51.11,31.92,44.72
40.68,6.54,44.71,53.52,70.8,63.27
68.12,4.65,60.46,79.68,55.68,68.13
43.38,1.37,57.62,68.13,30.63,45.82
47.13,4.13,48.78,69.96,73.8,65.62
47.05,3.39,41.19,47.69,76.31,57.3
78.95,7.17,79.55,88.34,70.87,85.8
84.76,9.54,94.36,77.02,52.23,85.62
75.0,3.41,80.56,48.12,64.42,63.67
97.73,8.3,49.24,62.44,55.17,75.86
62.49,1.5,45.91,88.62,75.54,61.54
57.14,5.84,44.15,74.1,67.93,67.16
92.12,1.63,38.89,46.52,35.32,48.33
53.42,9.41,65.84,62.37,71.8,81.16
97.79,7.9,69.35,54.56,74.67,82.21
40.73,6.92,75.86,71.05,54.1,68.43
98.19,8.42,74.21,90.6,86.93,94.57
42.59,6.83,49.0,66.18,84.8,73.67
93.47,9.72,51.47,66.0,41.39,74.16
71.66,7.43,74.3,94.32,88.78,88.57
99.58,9.32,52.71,74.57,58.66,83.72
44.43,5.65,43.82,73.97,77.04,67.82
73.23,2.05,54.33,55.71,82.92,61.84
98.16,5.75,47.69,76.46,62.83,73.74
71.39,2.14,35.74,74.55,55.94,56.84
77.76,6.33,83.96,63.81,89.5,81.88
81.74,5.34,85.45,99.44,45.01,75.69
67.27,6.6,44.28,92.91,46.7,67.55
77.65,1.09,34.21,84.98,53.51,55.17
75.06,2.75,78.02,72.24,85.87,75.21
94.07,5.42,43.75,67.72,91.02,76.16
42.73,9.55,55.57,51.09,44.3,61.92
56.86,4.45,34.17,58.34,86.15,66.06
97.02,4.82,44.71,86.44,46.78,64.63
93.42,7.43,81.54,67.22,93.09,90.81
67.34,6.43,82.29,92.94,68.83,81.61
77.21,3.69,43.46,48.87,30.46,48.74
56.64,4.7,51.83,70.5,32.22,57.68
51.29,2.96,38.73,78.82,39.59,56.56
67.82,9.69,34.82,71.01,42.19,64.95
61.2,2.18,94.49,93.35,79.9,78.14
75.02,4.35,72.61,99.37,44.48,69.56
44.66,1.23,65.24,46.95,92.99,62.2
98.46,3.0,79.76,47.8,71.35,71.1
99.17,8.02,84.61,47.82,75.01,86.73
81.89,2.81,82.44,80.87,44.16,65.79
72.17,1.72,31.08,62.36,88.03,58.44
58.57,5.27,42.14,84.0,73.41,71.07
88.83,1.09,72.57,64.33,86.19,69.52
81.08,1.76,54.42,77.66,92.17,70.16
49.76,8.27,93.86,86.19,38.17,74.65
94.66,7.94,73.25,72.89,36.28,76.17
89.35,9.24,92.18,72.37,82.22,97.29
96.99,8.69,43.09,45.29,86.3,77.45
83.54,7.15,86.16,64.65,67.94,82.19
76.8,1.47,50.89,72.75,53.79,55.32
65.09,8.05,94.32,67.72,72.42,81.09
95.96,8.61,40.25,94.05,49.87,78.04
91.96,8.19,63.56,94.39,45.5,77.84
42.71,5.58,81.53,89.32,61.73,69.89
41.58,3.1,58.12,62.52,44.05,49.77
62.59,8.61,60.43,83.04,61.44,75.98
88.63,7.54,94.11,63.72,92.18,90.07
99.24,9.83,57.65,53.96,84.59,84.51
49.03,2.4,69.26,60.57,91.21,65.89
75.65,3.03,33.55,44.26,82.41,57.78
62.85,2.91,84.74,59.91,53.06,62.3
98.19,8.13,72.13,67.64,82.78,89.03
90.53,2.68,56.26,97.33,89.99,78.51
90.3,1.6,31.05,58.8,91.56,62.51
68.12,9.99,68.46,94.15,74.41,89.51
64.89,1.22,30.82,53.73,43.74,41.14
56.4,8.52,30.08,51.46,32.58,54.22
43.38,4.29,70.05,71.14,39.57,58.75
91.88,8.57,42.29,80.35,92.76,84.04
88.77,5.99,42.47,42.66,60.04,63.17
99.98,9.11,72.46,53.26,85.57,87.94
99.8,9.34,33.49,67.34,60.23,77.75
73.33,1.08,50.37,59.86,72.95,54.78
86.14,1.68,39.71,82.76,31.57,51.11
96.69,3.25,67.71,70.67,46.24,64.86
90.98,7.02,73.01,49.62,58.36,69.42
54.84,8.99,76.87,93.67,70.99,83.96
67.03,5.14,46.59,57.57,41.15,55.9
47.75,6.46,35.8,83.87,79.7,72.18
97.24,2.7,35.11,86.79,53.69,62.19
76.37,8.24,57.7,97.79,83.13,89.21
53.72,9.71,91.48,69.91,36.37,73.36
80.3,3.42,44.15,76.95,74.18,63.89
77.09,5.45,46.69,60.09,49.07,61.43
61.49,1.78,36.56,80.69,81.7,59.17
46.81,6.03,69.36,67.8,56.14,64.64
80.29,5.53,74.19,66.26,73.25,77.8
71.22,2.3,71.79,91.33,90.73,76.65
86.34,4.98,85.97,43.01,31.34,59.46
71.21,4.01,61.62,92.92,30.72,59.43
91.13,5.7,38.74,91.12,80.07,79.15
73.11,6.27,48.81,70.38,72.02,72.51
73.66,1.08,73.06,69.41,49.04,54.53
92.6,7.85,69.85,61.71,62.14,74.57
64.21,7.42,64.52,99.65,32.73,74.6
48.04,4.3,74.39,46.67,42.51,52.48
41.73,1.48,71.43,75.41,57.59,57.66
85.31,7.79,87.29,80.9,84.21,94.19
77.22,9.6,68.09,96.06,61.18,87.06
82.24,3.16,80.61,86.81,68.11,72.95
52.78,3.91,46.17,78.63,86.79,65.84
48.18,2.65,74.08,47.01,50.07,50.21
40.87,6.19,88.64,62.42,75.55,75.24
61.04,2.39,55.07,48.33,86.01,64.52
75.4,4.21,80.64,92.87,43.17,68.7
63.53,7.27,77.11,84.98,53.17,74.96
66.25,6.04,33.87,85.45,93.69,78.4
94.25,4.48,67.8,79.14,93.91,81.53
60.9,4.78,38.46,70.42,44.51,56.76
70.84,6.06,92.88,49.0,34.32,64.53
87.02,1.05,82.74,59.78,47.61,57.65
63.79,1.71,37.13,48.21,55.85,47.64
77.33,8.93,37.91,83.49,58.67,79.33
91.74,1.7,68.64,49.61,70.22,63.94
96.97,7.36,52.42,82.13,88.47,88.58
48.82,9.28,32.27,81.54,51.47,66.89
95.6,3.44,65.21,67.56,85.25,77.26
69.53,4.33,55.21,48.11,36.08,54.02
55.49,6.12,36.57,58.89,32.72,49.53
